"code","buy","overweight","hold","underweight","sell","high","median","low","avearge","current","sys_load_time"
"AUB","","","","","","","","","","","2020-08-26 16:40:57.54036+10"
"API","","","","","","","","","","","2020-08-26 16:41:01.003718+10"
"BWX","6","1","1","0","0","$5.20","$5.03","$4.32","$4.86","$4.80","2020-08-26 16:41:03.234929+10"
"BBN","","","","","","","","","","","2020-08-26 16:41:03.339249+10"
"BAP","","","","","","","","","","","2020-08-26 16:41:03.348421+10"
"AVN","","","","","","","","","","","2020-08-26 16:41:03.95604+10"
"CVN","2","0","1","0","0","$0.40","$0.35","$0.30","$0.35","$0.20","2020-08-26 16:41:05.089603+10"
"CDD","1","0","0","0","0","$0.56","$0.56","$0.56","$0.56","$0.31","2020-08-26 16:41:05.533293+10"
"CAR","3","0","9","2","1","$23.26","$19.09","$16.20","$19.36","$20.89","2020-08-26 16:41:06.311804+10"
"BIN","","","","","","","","","","","2020-08-26 16:41:15.451768+10"
"BVS","","","","","","","","","","","2020-08-26 16:41:15.793952+10"
"CGF","3","1","8","0","1","$6.50","$4.38","$3.70","$4.48","$3.85","2020-08-26 16:41:16.105388+10"
"CIA","4","0","0","0","0","$4.22","$3.55","$3.00","$3.58","$3.08","2020-08-26 16:41:17.372536+10"
"CHC","5","0","2","1","1","$14.78","$13.28","$7.07","$12.48","$12.62","2020-08-26 16:41:17.497625+10"
"BUB","","","","","","","","","","","2020-08-26 16:41:20.338637+10"
"CQE","5","0","0","0","0","$3.23","$3.02","$2.79","$3.01","$2.67","2020-08-26 16:41:22.089726+10"
"CNU","2","0","2","1","2","$9.20","$8.00","$6.75","$7.96","$7.82","2020-08-26 16:41:23.883541+10"
"CIM","3","0","2","1","0","$34.00","$23.20","$21.70","$26.78","$21.96","2020-08-26 16:41:25.714965+10"
"BWP","","","","","","","","","","","2020-08-26 16:41:27.390308+10"
"CWY","4","1","5","0","0","$2.60","$2.40","$1.88","$2.33","$2.43","2020-08-26 16:41:27.657822+10"
"CUV","1","0","0","0","0","$32.15","$32.15","$32.15","$32.15","$23.23","2020-08-26 16:41:29.481286+10"
"CCL","5","0","7","1","0","$11.25","$9.80","$7.60","$9.80","$9.26","2020-08-26 16:41:29.739329+10"
"CWP","","","","","","","","","","","2020-08-26 16:41:30.876105+10"
"COH","4","1","4","0","7","$236.00","$198.00","$152.25","$197.67","$200.86","2020-08-26 16:41:31.179219+10"
"CDA","3","0","2","1","0","$11.48","$10.85","$10.25","$10.86","$11.01","2020-08-26 16:41:31.545601+10"
"COL","7","0","5","1","1","$21.50","$19.80","$16.16","$19.51","$18.93","2020-08-26 16:41:32.924877+10"
"CBA","1","0","7","1","6","$78.00","$68.63","$52.60","$67.73","$69.65","2020-08-26 16:41:33.393608+10"
"CNI","","","","","","","","","","","2020-08-26 16:41:33.566494+10"
"COF","","","","","","","","","","","2020-08-26 16:41:33.8279+10"
"COE","7","0","3","0","0","$0.65","$0.50","$0.40","$0.52","$0.34","2020-08-26 16:41:34.630742+10"
"CPU","5","1","2","1","2","$11.30","$10.02","$7.71","$9.81","$13.51","2020-08-26 16:41:34.872475+10"
"CTD","6","0","4","0","1","$18.00","$15.00","$8.00","$14.54","$15.36","2020-08-26 16:41:35.161613+10"
"CIP","","","","","","","","","","","2020-08-26 16:41:35.662246+10"
"CGC","4","1","2","0","0","$3.80","$3.35","$2.87","$3.38","$2.93","2020-08-26 16:41:36.014962+10"
"CMW","0","0","2","0","1","$1.12","$1.08","$0.60","$0.93","$0.92","2020-08-26 16:41:36.786877+10"
"CWN","7","2","3","0","0","$12.33","$11.00","$8.60","$10.69","$9.40","2020-08-26 16:41:36.908459+10"
"CSL","7","1","7","0","0","$248.46","$226.80","$191.69","$224.34","$290.97","2020-08-26 16:41:37.516095+10"
"CSR","4","0","4","1","2","$4.77","$3.93","$3.10","$3.91","$3.66","2020-08-26 16:41:38.314149+10"
"DCN","2","0","2","0","1","$0.50","$0.40","$0.22","$0.37","$0.33","2020-08-26 16:41:39.005857+10"
"DXS","0","0","0","0","0"," "," "," "," ","$8.65","2020-08-26 16:41:40.737859+10"
"CLW","","","","","","","","","","","2020-08-26 16:41:41.053303+10"
"DMP","2","0","4","1","5","$96.50","$77.50","$50.00","$76.22","$83.66","2020-08-26 16:41:41.466599+10"
"DOW","5","1","3","0","0","$7.40","$4.70","$4.50","$5.12","$4.37","2020-08-26 16:41:42.58049+10"
"CQR","","","","","","","","","","","2020-08-26 16:41:42.71305+10"
"ECX","0","0","0","0","0"," "," "," "," ","$1.52","2020-08-26 16:41:43.023722+10"
"ELD","5","1","1","1","0","$13.65","$11.68","$7.73","$11.40","$10.25","2020-08-26 16:41:43.674369+10"
"A2M","7","0","3","1","3","$25.00","$21.85","$14.65","$21.35","$18.24","2020-08-26 16:41:44.207236+10"
"EML","2","1","2","0","0","$4.48","$4.20","$3.66","$4.09","$3.22","2020-08-26 16:41:44.212541+10"
"EHL","5","0","2","0","0","$2.03","$1.18","$0.94","$1.31","$0.90","2020-08-26 16:41:44.318878+10"
