"code","buy","overweight","hold","underweight","sell","high","median","low","avearge","current","sys_load_time"
"OSH","9","1","5","0","0","$19.55","$13.50","$9.95","$13.37","$2.98","2020-08-05 16:43:55.942212+10"
"ORG","9","1","2","0","0","$8.45","$6.95","$5.70","$6.94","$5.76","2020-08-05 16:43:55.977338+10"
"NEC","","","","","","","","","","","2020-08-05 16:44:00.132269+10"
"PDN","0","0","0","0","0"," "," "," "," ","$0.14","2020-08-05 16:44:01.316363+10"
"NSR","","","","","","","","","","","2020-08-05 16:44:02.262273+10"
"PET","0","0","0","0","0"," "," "," "," ","$0.21","2020-08-05 16:44:02.768355+10"
"NWL","","","","","","","","","","","2020-08-05 16:44:03.719564+10"
"NWH","","","","","","","","","","","2020-08-05 16:44:04.298032+10"
"PLS","1","0","1","0","4","$0.40","$0.28","$0.20","$0.29","$0.38","2020-08-05 16:44:07.386304+10"
"PME","1","0","4","0","0","$30.00","$29.83","$24.00","$28.41","$22.87","2020-08-05 16:44:07.932954+10"
"PGH","2","1","1","0","0","$2.60","$2.53","$2.50","$2.54","$2.06","2020-08-05 16:44:11.188555+10"
"PRU","3","0","1","0","2","$1.95","$1.60","$1.25","$1.60","$1.55","2020-08-05 16:44:11.294094+10"
"OML","","","","","","","","","","","2020-08-05 16:44:14.92629+10"
"PPT","3","2","5","0","0","$45.00","$37.62","$33.50","$38.34","$30.30","2020-08-05 16:44:14.954471+10"
"QBE","8","0","1","0","2","$8.96","$8.02","$5.71","$7.73","$10.08","2020-08-05 16:44:17.823777+10"
"QUB","5","1","4","0","1","$3.50","$3.10","$2.45","$3.10","$2.76","2020-08-05 16:44:20.216338+10"
"PRN","5","1","1","0","0","$2.00","$1.90","$1.35","$1.81","$1.23","2020-08-05 16:44:20.868901+10"
"QAN","7","0","2","0","1","$5.31","$4.60","$3.00","$4.48","$3.24","2020-08-05 16:44:21.174841+10"
"RHC","6","0","3","1","2","$78.25","$71.60","$56.00","$69.43","$62.56","2020-08-05 16:44:30.946666+10"
"PDL","","","","","","","","","","","2020-08-05 16:44:34.369071+10"
"RMS","3","0","1","0","0","$2.46","$2.36","$2.00","$2.29","$2.21","2020-08-05 16:44:36.206143+10"
"RIO","5","0","0","1","0","$81.15","$69.00","$63.45","$71.20","$103.99","2020-08-05 16:44:36.310634+10"
"S32","14","1","2","0","2","$2.10","$1.77","$1.29","$1.74","$2.13","2020-08-05 16:44:43.999708+10"
"PNI","","","","","","","","","","","2020-08-05 16:44:44.424978+10"
"PMV","","","","","","","","","","","2020-08-05 16:44:46.734206+10"
"PTM","","","","","","","","","","","2020-08-05 16:44:50.201304+10"
"SFR","8","1","5","0","1","$6.80","$5.60","$4.50","$5.68","$5.05","2020-08-05 16:44:53.549091+10"
"RDC","","","","","","","","","","","2020-08-05 16:44:58.242731+10"
"SDA","0","0","1","0","0","$0.78","$0.78","$0.78","$0.78","$0.79","2020-08-05 16:45:00.256451+10"
"REG","","","","","","","","","","","2020-08-05 16:45:02.107211+10"
"SHV","2","1","2","0","0","$9.80","$6.60","$6.10","$7.33","$5.69","2020-08-05 16:45:03.861206+10"
"SKC","7","0","2","0","1","$3.50","$3.10","$2.40","$3.10","$2.27","2020-08-05 16:45:06.14032+10"
"SKI","2","1","3","0","0","$2.56","$2.22","$2.03","$2.26","$2.28","2020-08-05 16:45:09.880181+10"
"SOL","0","0","1","0","0","$20.04","$20.04","$20.04","$20.04","$20.09","2020-08-05 16:45:12.388263+10"
"SLR","2","1","2","0","0","$2.70","$2.47","$2.25","$2.48","$2.58","2020-08-05 16:45:13.510549+10"
"SPK","1","0","2","0","1","$5.00","$4.75","$4.00","$4.63","$4.58","2020-08-05 16:45:18.052112+10"
"STO","10","2","4","0","0","$5.34","$4.49","$3.56","$4.57","$5.53","2020-08-05 16:45:29.076454+10"
"SUL","0","0","0","0","0"," "," "," "," ","$8.83","2020-08-05 16:45:34.391826+10"
"SDF","","","","","","","","","","","2020-08-05 16:45:35.548772+10"
"SGF","","","","","","","","","","","2020-08-05 16:45:38.649313+10"
"SVW","4","1","1","0","0","$20.35","$19.02","$16.00","$18.28","$17.20","2020-08-05 16:45:40.925297+10"
"SWM","2","1","2","0","0","$0.45","$0.16","$0.10","$0.22","$0.11","2020-08-05 16:45:41.116049+10"
"SYD","6","1","2","1","2","$7.11","$6.50","$4.50","$6.20","$5.17","2020-08-05 16:45:42.984589+10"
"SXY","8","0","1","0","0","$0.60","$0.41","$0.30","$0.41","$0.27","2020-08-05 16:45:43.074885+10"
"SYR","1","0","2","0","1","$0.50","$0.29","$0.12","$0.30","$0.39","2020-08-05 16:45:45.462939+10"
"TAH","3","1","6","1","2","$5.00","$3.68","$2.60","$3.73","$3.52","2020-08-05 16:45:45.790714+10"
"SIG","","","","","","","","","","","2020-08-05 16:45:46.119758+10"
"TCL","3","1","7","0","2","$16.74","$14.41","$11.70","$14.22","$13.81","2020-08-05 16:45:48.101078+10"
"SM1","","","","","","","","","","","2020-08-05 16:45:48.764918+10"
"TLS","8","0","1","1","0","$4.40","$3.80","$3.29","$3.85","$3.40","2020-08-05 16:45:48.910031+10"
"SIQ","","","","","","","","","","","2020-08-05 16:45:50.329999+10"
"SLC","","","","","","","","","","","2020-08-05 16:45:50.630419+10"
"TWE","4","1","8","0","1","$11.00","$8.22","$6.96","$8.66","$10.66","2020-08-05 16:45:51.248935+10"
"VRL","1","0","0","0","0","$2.61","$2.61","$2.61","$2.61","$2.13","2020-08-05 16:45:53.763692+10"
"SSM","","","","","","","","","","","2020-08-05 16:45:53.931302+10"
"VRT","0","0","0","0","0"," "," "," "," ","$2.84","2020-08-05 16:45:55.886433+10"
"WBC","0","1","0","0","0","$16.47","$13.22","$9.17","$13.54","$16.63","2020-08-05 16:45:58.14294+10"
"WEB","4","0","2","0","2","$5.35","$3.80","$2.75","$3.90","$2.84","2020-08-05 16:45:58.553623+10"
"WES","0","0","10","1","3","$44.50","$41.00","$37.60","$40.84","$46.39","2020-08-05 16:45:58.991496+10"
"WAF","2","1","1","0","0","$1.85","$1.20","$1.00","$1.29","$1.11","2020-08-05 16:46:00.738666+10"
"WHC","10","1","2","0","2","$4.00","$2.28","$1.30","$2.21","$1.33","2020-08-05 16:46:01.126663+10"
"WPL","10","1","5","0","0","$23.67","$17.72","$14.05","$17.45","$20.05","2020-08-05 16:46:03.716548+10"
"WOR","6","3","2","0","1","$13.65","$11.45","$8.40","$11.48","$8.20","2020-08-05 16:46:04.268562+10"
"SXL","","","","","","","","","","","2020-08-05 16:46:05.250686+10"
"WSA","7","0","6","1","0","$3.25","$2.68","$2.30","$2.71","$2.47","2020-08-05 16:46:06.051267+10"
"WTC","4","0","0","1","1","$27.00","$23.30","$18.75","$22.71","$21.57","2020-08-05 16:46:06.733125+10"
"XRO","3","2","4","1","3","$112.44","$87.32","$59.54","$85.88","$92.55","2020-08-05 16:46:07.548637+10"
"UMG","","","","","","","","","","","2020-08-05 16:46:13.043185+10"
"TNE","","","","","","","","","","","2020-08-05 16:46:19.912765+10"
"VEA","","","","","","","","","","","2020-08-05 16:46:19.962165+10"
"WPP","","","","","","","","","","","2020-08-05 16:46:27.443117+10"
"Z1P","","","","","","","","","","","2020-08-05 16:46:30.679393+10"
"APT","5","0","6","0","1","$101.00","$70.07","$27.00","$68.76","$71.00","2020-08-05 17:10:06.144858+10"
"ABC","2","1","5","2","5","$3.20","$2.20","$1.85","$2.29","$2.25","2020-08-05 17:10:10.84522+10"
"CPU","5","1","2","0","2","$11.36","$9.73","$7.69","$9.49","$13.59","2020-08-05 17:10:12.856921+10"
"ANZ","8","1","4","0","1","$26.20","$20.55","$12.47","$20.80","$17.46","2020-08-05 17:10:14.291299+10"
"KAR","4","0","0","0","0","$1.50","$1.38","$1.14","$1.35","$0.74","2020-08-05 17:10:15.398909+10"
"ORI","6","0","4","1","0","$20.75","$18.50","$15.55","$18.31","$17.07","2020-08-05 17:10:19.980782+10"
"REA","4","1","6","0","1","$126.00","$105.00","$88.76","$104.69","$110.57","2020-08-05 17:10:20.725948+10"
"FLT","6","0","4","0","0","$17.00","$13.00","$11.25","$13.75","$9.85","2020-08-05 17:10:21.89135+10"
"RWC","5","2","2","0","1","$3.65","$3.27","$2.65","$3.26","$2.66","2020-08-05 17:10:24.121234+10"
"PNV","1","2","2","0","0","$2.90","$2.83","$2.60","$2.79","$2.28","2020-08-05 17:10:28.008188+10"
"MQG","8","0","5","1","0","$150.00","$127.32","$105.00","$127.71","$124.44","2020-08-05 17:10:29.522184+10"
"RFF","3","1","0","0","0","$2.42","$2.30","$2.19","$2.30","$2.09","2020-08-05 17:10:30.294623+10"
"SCG","3","0","4","1","1","$3.63","$2.28","$2.04","$2.48","$1.97","2020-08-05 17:10:41.451555+10"
"SHL","5","1","6","0","1","$34.50","$32.40","$28.00","$31.63","$33.29","2020-08-05 17:10:47.647074+10"
"SUN","5","0","3","1","2","$11.82","$9.50","$7.50","$9.72","$8.52","2020-08-05 17:10:50.518945+10"
"TGR","2","0","0","0","0","$5.35","$4.63","$3.90","$4.63","$3.60","2020-08-05 17:10:53.530178+10"
"WGX","3","0","0","0","0","$3.25","$2.90","$2.80","$2.98","$2.42","2020-08-05 17:10:57.592848+10"
"WOW","5","1","5","0","0","$323.66","$292.99","$244.07","$286.53","$39.25","2020-08-05 17:10:59.850916+10"
"SBM","5","0","2","0","1","$4.30","$3.73","$3.00","$3.70","$3.62","2020-08-05 17:11:12.607624+10"
"ALQ","0","0","0","0","0"," "," "," "," ","$8.80","2020-08-05 17:40:04.793412+10"
"DXS","0","0","0","0","0"," "," "," "," ","$8.43","2020-08-05 17:40:04.918259+10"
"AGL","0","0","4","2","4","$19.35","$16.16","$13.70","$16.23","$16.83","2020-08-05 17:40:05.496149+10"
"ANN","2","0","3","0","2","$120.82","$86.94","$82.13","$93.84","$39.58","2020-08-05 17:40:05.905212+10"
"FPH","4","1","2","1","4","$39.26","$29.40","$19.50","$30.09","$34.06","2020-08-05 17:40:06.224674+10"
"RSG","7","1","1","0","0","$1.57","$1.18","$0.93","$1.18","$1.38","2020-08-05 17:40:06.886969+10"
"RRL","2","0","6","2","4","$6.50","$5.50","$4.10","$5.39","$5.88","2020-08-05 17:40:07.146534+10"
"OZL","8","2","4","1","1","$16.00","$13.70","$9.00","$13.11","$14.00","2020-08-05 17:40:07.892447+10"
"SAR","3","0","7","0","2","$6.90","$6.03","$4.90","$5.89","$6.02","2020-08-05 17:40:07.964563+10"
"SGM","2","1","6","1","0","$10.20","$8.58","$7.90","$8.67","$8.22","2020-08-05 17:40:09.767026+10"
"SCP","1","0","4","0","2","$2.70","$2.22","$1.87","$2.23","$2.19","2020-08-05 17:40:11.099977+10"
"VCX","2","0","6","1","1","$1.82","$1.50","$1.28","$1.52","$1.31","2020-08-05 17:40:11.753045+10"
"SGR","7","0","4","0","0","$4.45","$3.70","$2.70","$3.63","$2.63","2020-08-05 17:40:13.144071+10"
"SGP","5","0","3","1","0","$4.38","$3.56","$3.16","$3.72","$3.34","2020-08-05 17:40:16.31545+10"
"SEK","6","0","4","1","1","$32.40","$21.60","$15.55","$22.19","$21.37","2020-08-05 18:10:07.059216+10"
"CGC","5","1","1","0","0","$3.80","$3.40","$2.87","$3.40","$2.96","2020-08-05 18:10:07.545199+10"
"SPL","1","0","0","0","0","$1.75","$1.75","$1.75","$1.75","$1.09","2020-08-05 18:10:08.375259+10"
"VOC","3","0","4","2","0","$4.10","$3.60","$3.25","$3.59","$2.97","2020-08-05 18:10:08.585285+10"
"ASB","5","0","0","0","1","$28.64","$27.27","$18.96","$25.83","$3.20","2020-08-05 18:10:08.78392+10"
"ALQ","0","0","0","0","0"," "," "," "," ","$9.00","2020-08-06 17:10:07.024618+10"
"ABC","2","1","5","2","5","$3.20","$2.20","$1.85","$2.29","$2.28","2020-08-06 16:41:59.594761+10"
"AWC","8","0","2","0","1","$1.47","$1.37","$0.93","$1.33","$1.63","2020-08-06 16:41:59.772428+10"
"ABP","","","","","","","","","","","2020-08-06 16:41:59.814124+10"
"ALU","2","0","6","1","1","$28.69","$24.08","$20.34","$24.19","$33.61","2020-08-06 16:42:00.130913+10"
"AGL","0","0","4","2","4","$19.35","$16.16","$13.70","$16.23","$16.79","2020-08-06 16:42:00.53746+10"
"APT","5","0","6","0","1","$101.00","$70.07","$27.00","$68.76","$71.26","2020-08-06 16:42:00.813064+10"
"AX1","","","","","","","","","","","2020-08-06 16:42:01.283905+10"
"AMP","2","0","5","1","3","$2.40","$1.55","$1.20","$1.63","$1.45","2020-08-06 16:42:01.607417+10"
"ANN","2","0","3","0","2","$120.82","$86.94","$82.13","$93.84","$39.35","2020-08-06 16:42:01.835005+10"
"APA","3","0","4","1","0","$12.51","$11.31","$10.70","$11.43","$11.16","2020-08-06 16:42:02.207253+10"
"APX","7","1","2","0","0","$42.56","$33.94","$30.00","$34.53","$37.20","2020-08-06 16:42:03.056666+10"
"ARB","1","1","2","0","0","$19.79","$19.10","$18.75","$19.21","$20.83","2020-08-06 16:42:03.205764+10"
"ALL","13","0","0","0","0","$36.10","$29.80","$28.00","$30.47","$27.37","2020-08-06 16:42:04.782275+10"
"AHY","2","1","1","0","0","$1.30","$1.25","$1.02","$1.19","$0.96","2020-08-06 16:42:04.847179+10"
"AIA","2","0","4","0","2","$7.00","$6.45","$5.70","$6.34","$5.80","2020-08-06 16:43:04.249498+10"
"AMA","","","","","","","","","","","2020-08-06 16:43:04.976431+10"
"AD8","4","0","2","0","0","$7.50","$6.13","$4.56","$6.18","$5.30","2020-08-06 16:43:05.818369+10"
"AMI","2","1","0","0","0","$0.75","$0.70","$0.60","$0.68","$0.59","2020-08-06 16:43:06.512453+10"
"AZJ","7","1","2","0","0","$5.70","$5.58","$5.19","$5.50","$4.52","2020-08-06 16:43:07.244969+10"
"AST","2","0","5","0","4","$2.11","$1.88","$1.57","$1.88","$1.80","2020-08-06 16:43:08.095842+10"
"ASB","5","0","0","0","1","$28.64","$27.27","$18.96","$25.83","$3.32","2020-08-06 16:43:08.766313+10"
"ANZ","8","1","4","0","1","$26.20","$20.55","$12.47","$20.80","$17.64","2020-08-06 16:43:09.585328+10"
"AAC","1","0","0","0","0","$1.40","$1.40","$1.40","$1.40","$1.02","2020-08-06 16:43:10.339403+10"
"ADI","","","","","","","","","","","2020-08-06 16:43:10.384288+10"
"APE","","","","","","","","","","","2020-08-06 16:43:10.630789+10"
"AYS","","","","","","","","","","","2020-08-06 16:43:10.892566+10"
"BOQ","1","0","7","2","2","$10.17","$7.88","$5.99","$8.13","$5.88","2020-08-06 16:43:12.436703+10"
"ARF","","","","","","","","","","","2020-08-06 16:43:13.72789+10"
"ALG","","","","","","","","","","","2020-08-06 16:43:14.059771+10"
"BPT","9","1","5","1","0","$2.25","$1.82","$1.25","$1.79","$1.43","2020-08-06 16:43:14.763076+10"
"BGA","2","0","3","0","0","$5.90","$5.00","$4.17","$5.12","$4.56","2020-08-06 16:43:15.192129+10"
"BGL","4","0","0","0","0","$1.55","$1.36","$1.30","$1.39","$1.16","2020-08-06 16:43:15.487744+10"
"BEN","1","0","6","2","4","$8.10","$7.00","$4.24","$6.86","$6.68","2020-08-06 16:43:16.219586+10"
"BHP","9","0","5","1","0","$62.92","$55.08","$38.38","$54.48","$39.82","2020-08-06 16:43:16.694618+10"
"BKL","0","0","0","0","0"," "," "," "," ","$71.89","2020-08-06 16:43:17.66288+10"
"BSL","6","0","3","1","1","$17.50","$12.68","$10.00","$13.14","$11.76","2020-08-06 16:43:17.850185+10"
"BLD","2","0","6","0","2","$5.00","$4.05","$3.25","$3.96","$3.74","2020-08-06 16:43:19.207247+10"
"BXB","7","0","4","0","0","$9.74","$7.96","$6.57","$8.35","$10.93","2020-08-06 16:43:19.344872+10"
"BRG","5","0","4","1","0","$28.00","$20.00","$14.90","$21.19","$27.31","2020-08-06 16:43:21.220639+10"
"BKW","3","2","1","0","0","$19.00","$17.86","$13.56","$17.35","$16.71","2020-08-06 16:43:22.542313+10"
"AUB","","","","","","","","","","","2020-08-06 16:43:24.884895+10"
"BBN","","","","","","","","","","","2020-08-06 16:43:36.469831+10"
"AVN","","","","","","","","","","","2020-08-06 16:43:36.770114+10"
"API","","","","","","","","","","","2020-08-06 16:43:36.800599+10"
"BAP","","","","","","","","","","","2020-08-06 16:43:37.342757+10"
"BWX","3","1","3","0","0","$5.20","$4.20","$3.29","$4.24","$4.21","2020-08-06 16:43:37.884881+10"
"CDD","1","0","0","0","0","$0.56","$0.56","$0.56","$0.56","$0.29","2020-08-06 16:43:38.409187+10"
"CVN","3","0","1","0","0","$0.40","$0.35","$0.30","$0.35","$0.19","2020-08-06 16:43:39.472209+10"
"CAR","4","0","8","1","1","$20.17","$17.43","$14.58","$17.28","$18.79","2020-08-06 16:43:39.482657+10"
"BIN","","","","","","","","","","","2020-08-06 16:43:46.379751+10"
"CGF","1","1","9","0","1","$7.50","$5.13","$3.70","$5.11","$4.37","2020-08-06 16:43:48.73854+10"
"BWP","","","","","","","","","","","2020-08-06 16:43:49.146339+10"
"BVS","","","","","","","","","","","2020-08-06 16:43:49.358527+10"
"CIA","4","0","0","0","0","$4.18","$3.55","$3.00","$3.57","$3.00","2020-08-06 16:43:50.235421+10"
"CHC","7","0","0","0","1","$12.54","$11.30","$6.42","$10.57","$10.91","2020-08-06 16:43:50.6858+10"
"CQE","5","0","0","0","0","$3.20","$2.98","$2.79","$2.99","$2.31","2020-08-06 16:43:52.117827+10"
"BUB","","","","","","","","","","","2020-08-06 16:43:53.309279+10"
"CNU","1","0","2","0","1","$7.70","$7.18","$6.50","$7.14","$6.91","2020-08-06 16:43:53.558656+10"
"CIM","3","0","2","1","0","$34.00","$23.20","$21.70","$26.78","$22.60","2020-08-06 16:43:54.857166+10"
"CWY","3","1","4","0","0","$2.60","$2.45","$1.88","$2.32","$2.14","2020-08-06 16:43:54.998762+10"
"CUV","1","0","0","0","0","$32.15","$32.15","$32.15","$32.15","$22.30","2020-08-06 16:43:56.294268+10"
"CCL","1","0","9","2","0","$9.85","$9.10","$7.60","$9.10","$8.34","2020-08-06 16:43:56.457623+10"
"COH","3","1","4","0","6","$209.41","$192.50","$140.00","$183.30","$190.52","2020-08-06 16:43:57.688935+10"
"CDA","3","1","1","0","0","$9.00","$8.50","$8.44","$8.65","$8.30","2020-08-06 16:43:57.966195+10"
"COL","7","0","4","1","0","$20.50","$18.75","$14.68","$17.96","$18.60","2020-08-06 16:43:59.390438+10"
"CBA","2","0","5","1","6","$78.00","$66.40","$50.45","$66.50","$71.71","2020-08-06 16:44:00.465795+10"
"CPU","5","1","2","0","2","$11.36","$9.73","$7.69","$9.49","$13.72","2020-08-06 16:44:02.065716+10"
"CWP","","","","","","","","","","","2020-08-06 16:44:02.973898+10"
"COE","6","0","3","0","0","$0.65","$0.50","$0.40","$0.53","$0.38","2020-08-06 16:44:03.50436+10"
"CNI","","","","","","","","","","","2020-08-06 16:44:03.54416+10"
"CTD","5","0","3","0","1","$13.75","$12.85","$6.00","$11.64","$9.15","2020-08-06 16:44:04.444033+10"
"CGC","5","1","1","0","0","$3.80","$3.40","$2.87","$3.40","$3.03","2020-08-06 16:44:05.15497+10"
"CMW","0","0","2","0","1","$1.12","$1.08","$0.60","$0.93","$0.88","2020-08-06 16:44:05.888152+10"
"CWN","7","1","3","0","0","$12.00","$10.40","$8.50","$10.38","$9.31","2020-08-06 16:44:06.671585+10"
"CIP","","","","","","","","","","","2020-08-06 16:44:07.637214+10"
"CSL","8","0","5","0","0","$236.50","$222.18","$185.17","$216.46","$277.75","2020-08-06 16:44:07.674415+10"
"CSR","4","0","4","2","2","$4.77","$3.86","$3.10","$3.87","$3.61","2020-08-06 16:44:08.11082+10"
"DCN","2","0","2","0","1","$0.50","$0.40","$0.22","$0.36","$0.38","2020-08-06 16:44:09.459091+10"
"DXS","0","0","0","0","0"," "," "," "," ","$8.28","2020-08-06 16:44:09.556359+10"
"COF","","","","","","","","","","","2020-08-06 16:44:09.558554+10"
"DOW","4","1","4","0","0","$6.92","$4.61","$4.34","$4.93","$4.09","2020-08-06 16:44:11.221813+10"
"DMP","2","1","4","0","4","$77.30","$63.22","$40.00","$61.24","$75.58","2020-08-06 16:44:11.548619+10"
"ECX","0","0","0","0","0"," "," "," "," ","$1.33","2020-08-06 16:44:12.743621+10"
"ELD","5","1","1","1","0","$13.65","$11.68","$7.73","$11.40","$10.20","2020-08-06 16:44:13.058565+10"
"CLW","","","","","","","","","","","2020-08-06 16:44:13.423442+10"
"EHL","5","1","2","0","0","$2.15","$1.40","$1.09","$1.44","$0.95","2020-08-06 16:44:14.444033+10"
"CQR","","","","","","","","","","","2020-08-06 16:44:14.815372+10"
"A2M","4","1","2","0","1","$23.35","$21.85","$13.85","$20.82","$19.30","2020-08-06 16:44:15.88162+10"
"EVN","2","0","4","0","8","$7.00","$5.33","$4.08","$5.38","$6.19","2020-08-06 16:44:16.267948+10"
"EML","3","1","1","0","0","$4.31","$4.20","$3.66","$4.11","$3.10","2020-08-06 16:44:16.960756+10"
"FAR","3","0","1","0","0","$0.02","$0.02","$0.02","$0.02","$0.01","2020-08-06 16:44:17.338317+10"
"FBU","2","1","10","0","0","$5.50","$3.86","$3.55","$4.04","$3.20","2020-08-06 16:44:17.744188+10"
"FLT","6","0","4","0","0","$17.00","$13.00","$11.25","$13.75","$10.00","2020-08-06 16:44:18.622197+10"
"FMG","2","0","14","0","2","$13.23","$9.53","$6.91","$9.99","$18.57","2020-08-06 16:44:18.929734+10"
"FNP","2","0","3","0","0","$8.24","$4.33","$2.60","$4.64","$3.01","2020-08-06 16:44:19.573035+10"
"FPH","4","1","2","1","4","$39.26","$29.40","$19.50","$30.09","$33.73","2020-08-06 16:44:20.096584+10"
"CKF","","","","","","","","","","","2020-08-06 16:44:24.189026+10"
"CCP","","","","","","","","","","","2020-08-06 16:44:27.974562+10"
"GMG","3","0","4","1","1","$18.75","$16.59","$11.25","$15.76","$17.54","2020-08-06 16:44:29.480384+10"
"GNC","3","1","4","0","0","$5.00","$4.62","$4.15","$4.60","$3.90","2020-08-06 16:44:30.964073+10"
"DTL","","","","","","","","","","","2020-08-06 16:44:31.143809+10"
"GOR","4","1","1","0","1","$2.20","$2.00","$1.80","$1.98","$1.87","2020-08-06 16:44:32.405724+10"
"GOZ","2","0","1","0","0","$3.34","$3.30","$3.06","$3.23","$3.08","2020-08-06 16:44:32.512647+10"
"GUD","1","0","8","0","0","$14.20","$11.60","$10.60","$11.94","$11.69","2020-08-06 16:44:34.022133+10"
"GPT","7","0","0","1","1","$5.43","$4.70","$4.15","$4.64","$3.81","2020-08-06 16:44:34.466685+10"
"GWA","2","0","5","0","0","$3.25","$2.95","$2.80","$2.98","$2.74","2020-08-06 16:44:35.46753+10"
"GXY","2","0","5","0","2","$0.96","$0.66","$0.28","$0.68","$1.29","2020-08-06 16:44:35.939388+10"
"HLS","3","0","6","0","0","$3.70","$3.26","$2.90","$3.28","$3.24","2020-08-06 16:44:37.648545+10"
"DHG","","","","","","","","","","","2020-08-06 16:44:39.406309+10"
"EHE","","","","","","","","","","","2020-08-06 16:44:41.582022+10"
"FXL","","","","","","","","","","","2020-08-06 16:44:41.712354+10"
"HVN","5","1","5","0","0","$4.80","$4.10","$3.85","$4.22","$4.03","2020-08-06 16:44:43.557803+10"
"GDI","","","","","","","","","","","2020-08-06 16:44:44.705238+10"
"IAG","5","1","5","0","1","$6.65","$6.10","$4.70","$5.94","$5.07","2020-08-06 16:44:45.254677+10"
"IEL","5","0","1","0","0","$19.00","$17.00","$12.49","$16.70","$13.14","2020-08-06 16:44:46.671743+10"
"IFL","2","0","5","0","1","$5.50","$4.70","$4.20","$4.79","$4.47","2020-08-06 16:44:48.124374+10"
"GEM","","","","","","","","","","","2020-08-06 16:44:49.749391+10"
"IFN","1","0","4","0","0","$0.92","$0.92","$0.88","$0.91","$0.92","2020-08-06 16:44:51.209846+10"
"GMA","","","","","","","","","","","2020-08-06 16:44:55.772273+10"
"IGO","8","1","5","1","2","$6.00","$5.33","$3.50","$5.12","$5.00","2020-08-06 16:44:57.330888+10"
"ILU","5","0","4","0","0","$11.00","$10.00","$8.90","$9.97","$9.64","2020-08-06 16:44:58.855091+10"
"IMD","3","0","1","0","0","$1.51","$1.40","$1.30","$1.40","$1.32","2020-08-06 16:45:00.387439+10"
"HPI","","","","","","","","","","","2020-08-06 16:45:01.035315+10"
"INA","1","0","0","0","0","$5.25","$5.25","$5.25","$5.25","$4.71","2020-08-06 16:45:02.051768+10"
"INR","1","0","0","0","0","$0.50","$0.50","$0.50","$0.50","$0.13","2020-08-06 16:45:03.41855+10"
"HT1","","","","","","","","","","","2020-08-06 16:45:05.637023+10"
"IPL","5","0","4","1","0","$2.32","$1.71","$1.43","$1.76","$2.14","2020-08-06 16:45:07.087557+10"
"IRE","0","0","0","0","0"," "," "," "," ","$10.44","2020-08-06 16:45:08.627413+10"
"HSN","","","","","","","","","","","2020-08-06 16:45:08.946877+10"
"IAP","","","","","","","","","","","2020-08-06 16:45:10.041175+10"
"IRI","0","0","1","0","0","$4.25","$4.25","$4.25","$4.25","$4.80","2020-08-06 16:45:10.103936+10"
"HUB","","","","","","","","","","","2020-08-06 16:45:10.585853+10"
"ITG","1","0","0","0","0","$0.49","$0.49","$0.49","$0.49","$0.29","2020-08-06 16:45:11.558834+10"
"JBH","1","0","8","0","5","$48.20","$41.00","$34.20","$40.61","$45.78","2020-08-06 16:45:12.145943+10"
"IFM","","","","","","","","","","","2020-08-06 16:45:12.455181+10"
"JHC","0","0","0","0","0"," "," "," "," ","$0.48","2020-08-06 16:45:13.371007+10"
"JMS","4","0","0","0","0","$0.53","$0.44","$0.35","$0.44","$0.30","2020-08-06 16:45:15.281671+10"
"KAR","4","0","0","0","0","$1.50","$1.38","$1.14","$1.35","$0.78","2020-08-06 16:45:15.333374+10"
"KGN","2","0","2","0","1","$20.00","$15.19","$12.10","$15.62","$18.98","2020-08-06 16:45:17.282178+10"
"IGL","","","","","","","","","","","2020-08-06 16:45:17.840824+10"
"LLC","5","1","2","0","0","$16.55","$13.75","$12.50","$14.07","$11.11","2020-08-06 16:45:18.80999+10"
"LNK","5","0","1","1","1","$5.90","$4.63","$3.50","$4.65","$4.13","2020-08-06 16:45:19.523241+10"
"LYC","5","1","0","0","0","$4.50","$3.00","$2.40","$3.20","$2.48","2020-08-06 16:45:20.930763+10"
"MAH","2","0","0","0","0","$0.37","$0.36","$0.35","$0.36","$0.27","2020-08-06 16:45:22.469974+10"
"MFG","0","0","0","0","0"," "," "," "," ","$61.76","2020-08-06 16:45:24.096874+10"
"MGR","5","1","3","0","0","$2.80","$2.59","$2.23","$2.55","$2.07","2020-08-06 16:45:25.613623+10"
"MGX","1","0","1","0","0","$1.00","$0.88","$0.75","$0.88","$0.74","2020-08-06 16:45:27.129845+10"
"ING","","","","","","","","","","","2020-08-06 16:45:27.728619+10"
"MIN","1","0","6","0","0","$26.50","$21.77","$18.80","$22.10","$28.24","2020-08-06 16:45:28.51322+10"
"MLD","0","0","0","0","0"," "," "," "," ","$0.96","2020-08-06 16:45:29.086702+10"
"IPH","","","","","","","","","","","2020-08-06 16:45:29.467726+10"
"MMS","0","0","0","0","0"," "," "," "," ","$8.82","2020-08-06 16:45:29.968425+10"
"MND","3","1","7","2","2","$14.35","$10.65","$8.40","$10.90","$8.55","2020-08-06 16:45:30.594842+10"
"MP1","4","0","5","0","0","$17.00","$14.54","$12.45","$14.75","$13.26","2020-08-06 16:45:31.496604+10"
"MPL","3","0","5","0","1","$3.60","$2.96","$2.70","$2.98","$2.83","2020-08-06 16:45:32.055744+10"
"MQG","8","0","5","1","0","$150.00","$127.32","$105.00","$127.71","$124.92","2020-08-06 16:45:33.154979+10"
